Date,Album ,Delta,Rating
4/7/78,For You,0,2
10/19/79,Prince,560,3
10/8/80,Dirty Mind,354,5
10/14/81,Controversy,371,3.5
10/27/82,1999,378,5
6/25/84,Purple Rain,607,5
4/22/85,Around the World in a Day,301,3.5
3/31/86,Parade,343,4.5
3/30/87,Sign O the Times,364,5
5/6/88,Lovesexy,403,3.5
6/19/89,Batman,409,2.5
8/21/90,Graffiti Bridge,428,3.5
10/1/91,Diamonds and Pearls,406,3.5
10/13/92,Symbol,377,4.5
9/14/93,The Hits,336,5
8/16/94,Come,336,2
11/1/94,The Black Album,77,4
9/26/95,The Gold Experience,329,4
7/9/96,Chaos and Disorder,287,3
11/19/96,Emancipation,133,3.5
1/29/98,Crystal Ball,436,3
6/30/98,New Power Soul,150,2
8/24/99,The Vault,572,3
11/9/99,Rave Un2 the Joy Fantastic,77,2.5
7/31/01,Very Best Of,92,5
11/20/01,The Rainbow Children,112,3
6/30/03,N.E.W.S.,180,2
4/20/04,Musicology,23,3.5
3/21/06,3121,700,4
8/22/06,Ultimate,154,3
7/24/07,Planet Earth,337,3.5
3/29/09,Lotusflow3r,181,3
7/22/10,20Ten,481,2.5
9/14/15,HitnRun Phase One,350,3
12/15/15,HitnRun Phase Two,93,3.5
